URUT,R101,R102,R105,FOOD,NONFOOD,EXPEND,KAPITA,KALORI_KAP,PROTE_KAP,LEMAK_KAP,KARBO_KAP,R1802,R1810A,R2001B,R2001C,R2001D,R2001F,R2001G,R2001H,R2001K,R2001M,Banyak_Anak
516043,32,76,1,6621428.571428571,4250250,10871678.57142857,3623892.857142856,2618.877687074829,85.64458503401363,54.82401020408162,426.3818809523809,1,1,1,1,5,1,1,1,5,1,0
516047,32,76,1,2314285.714285715,4211250,6525535.714285714,1305107.142857142,1630.169612244897,47.13369387755103,32.36466326530612,245.4834999999999,1,4,1,5,5,5,5,1,5,1,3
516089,32,76,1,1954285.714285713,1025583.333333333,2979869.047619046,744967.2619047615,1713.568852040816,48.80771683673469,35.62826530612245,296.8217857142857,1,2,5,5,5,5,5,5,5,1,3
516094,32,76,1,2694857.142857142,2002083.333333333,4696940.476190475,1565646.825396825,3235.243809523809,79.44632857142858,171.6278857142857,293.4001619047618,2,4,1,5,5,5,5,1,5,5,1
516116,32,76,1,3809142.857142857,3396583.333333334,7205726.190476192,7205726.190476192,3264.251428571428,156.8992857142856,106.2642857142857,442.1842857142856,2,1,5,5,5,5,5,1,5,1,0
516117,32,76,1,1459285.714285714,1969416.666666666,3428702.381,3428702.381,3806.402346938775,126.7826836734694,107.7993878,345.4866428571427,1,4,1,5,5,5,5,5,5,1,0
516120,32,76,1,9678857.142857144,7985166.666666666,17664023.80952381,4416005.952380953,3605.243775510204,102.1407015306122,80.97153061224488,294.9514464285715,1,1,1,1,5,1,1,1,5,1,2
516123,32,76,1,959957.1429,1962499.999999999,2922457.142857142,1461228.571428571,1454.721071428571,50.36796428571427,42.70832142857142,144.0153214285714,1,3,1,5,5,5,5,5,5,1,0
516129,32,76,1,3882857.142857142,24800333.33333332,28683190.47619046,28683190.47619046,1883.842857142857,59.92,38.79285714285713,299.0671428571428,1,1,1,1,5,1,1,1,5,1,0
516130,32,76,1,1897714.285714285,2404166.666666666,4301880.952380951,2150940.476190475,2420.387244897959,71.06805612244897,60.30690816,284.1392499999999,3,2,1,5,5,5,5,1,5,5,1
516141,32,76,1,4999714.285714286,10262499.99999999,15262214.28571428,5087404.761904761,2571.965476190476,93.33519047619048,49.74819047619046,359.3677142857142,1,1,1,1,5,1,5,5,5,1,1
516153,32,76,1,3052714.285714285,2927916.666666668,5980630.952380953,1495157.738095238,1671.410025510203,56.21780867346937,41.53545918367346,198.8718035714286,1,4,1,5,5,1,5,1,5,5,2
516174,32,76,1,7082571.428571427,6705666.666666666,13788238.09523809,3447059.523809523,2686.447933673468,82.16987755,98.13036224489797,355.1249107142858,1,2,1,1,5,1,5,5,1,1,2
516189,32,76,1,6337714.285714285,5165999.999999999,11503714.28571428,3834571.428571427,3270.802176870748,106.0729591836734,66.58846938775508,513.2438095238097,1,4,1,5,5,5,5,1,5,1,1
516203,32,76,1,2896242.857142857,5030333.333333333,7926576.190476192,1585315.238095238,1967.429224489795,58.42783061224491,40.53519795918366,294.8109714285714,1,4,1,5,5,1,1,1,5,1,3
516222,32,76,1,4830857.143,5326916.666666666,10157773.81,1451110.544217686,2444.052991253644,75.29624723032073,91.96465072886294,311.3342244897958,1,4,1,5,5,5,5,1,5,1,5
516223,32,76,1,2445000,3456666.666666669,5901666.666666669,1475416.666666667,1588.791704081633,50.22047653061225,36.54830204081632,209.8133285714285,1,4,1,5,5,5,5,1,5,1,2
516231,32,76,1,1795714.285714286,2222416.666666666,4018130.952380953,4018130.952380953,2960.291428571428,85.27857142857142,55.20707142857143,416.0719285714285,3,2,1,5,5,5,5,1,5,5,0
516251,32,76,1,1300285.714285714,2115083.333333333,3415369.047619047,3415369.047619047,1233.257142857142,31.08071428571428,27.39071428571428,212.3499999999999,3,1,1,5,5,5,5,1,5,5,0
516253,32,76,1,761657.1428571427,768416.6666666667,1530073.809523809,510024.6031746031,2028.041428571428,49.30392857142857,45.74738095238095,345.2821428571429,3,4,5,5,5,5,5,5,5,5,2
516254,32,76,1,1448571.428571429,2458500,3907071.428571429,1953535.714285714,1790.326112244897,57.42631020408162,37.80286428571428,264.7798571428571,1,2,1,5,5,1,1,1,1,1,1
516289,32,76,1,9001714.285714284,14771000,23772714.28571428,5943178.571428571,2520.439686224489,71.23918367346938,57.34661989795919,309.3458928571429,1,1,1,1,5,1,1,1,5,1,2
516291,32,76,1,3980699.999999999,5977166.666666666,9957866.666666666,2489466.666666666,1932.128852040816,81.19759184,44.20997959183672,264.79225,1,2,1,1,5,1,5,1,5,1,2
516314,32,76,1,1772528.571428571,1310666.666666666,3083195.238095238,770798.8095238095,1900.473303571428,54.91458928571431,41.22524999999998,231.3965714285714,2,4,5,5,5,5,5,5,5,5,2
516322,32,76,1,4596857.142857141,6676833.333333335,11273690.47619047,3757896.825396826,2210.956497,83.47514285714287,51.71683673469387,277.6100952380953,1,4,1,1,5,1,5,1,5,1,1
516329,32,76,1,4013571.428571428,3458499.999999999,7472071.428571427,7472071.428571427,2976.522142857143,107.7767857142856,83.60914285714286,446.2765714285713,1,2,1,5,5,5,5,1,5,1,0
516338,32,76,1,2309142.857142856,2138583.333333331,4447726.190476188,1482575.396825396,2673.347857142857,74.84833333333334,55.63749999999998,405.8675476190476,1,5,1,5,5,1,5,1,5,5,1
516344,32,76,1,3896999.999999999,3849749.999999999,7746749.999999998,1549349.999999999,2456.475755102041,63.41606530612246,53.95204897959183,354.2484085714285,1,4,1,5,5,1,5,1,5,1,3
516366,32,76,1,4622571.428571428,4091250,8713821.429,4356910.714285714,2127.558694,65.3162449,59.63600000000001,293.0734285714285,2,1,5,5,5,5,5,5,5,1,0
516371,32,76,1,407142.8571428571,1279114.666666666,1686257.523809523,1686257.523809523,1490.625285714285,43.57151428571427,61.97664285714284,253.7331428571428,1,2,1,5,5,5,5,5,5,1,0
516378,32,76,1,6025285.714285717,6122833.333333333,12148119.04761905,3037029.761904762,1821.085064,63.66918367346939,53.69801020408164,220.262875,1,1,5,1,5,1,5,1,5,1,2
516393,32,76,1,579042.8571,3585333.333333332,4164376.190476189,4164376.190476189,1324.587857142857,29.19464285714285,17.03442857142857,206.5201428571428,1,2,1,1,5,5,1,5,5,1,0
516394,32,76,1,1470428.571428571,2167500,3637928.571428571,3637928.571428571,2691.132857142856,95.14585714285715,59.08814285714287,325.1979999999999,2,1,1,5,5,1,5,5,5,5,0
516516,32,76,1,10657242.85714285,18800333.33333333,29457576.19047618,7364394.047619046,1951.589158163265,55.86250255102042,56.62092346938775,254.0878928571429,1,1,1,1,5,1,1,1,1,1,1
516604,32,76,1,2052857.142857143,2245333.333333333,4298190.476190476,1074547.619047619,1272.010089285714,39.72817857142857,34.03553571428572,171.1583571428571,2,2,1,5,5,1,5,1,5,5,2
516630,32,76,1,2849142.857142856,2676733.333333333,5525876.19,1381469.047619047,1955.058035714286,53.44332653061224,42.10575255102039,314.3666250000001,1,4,1,5,5,5,5,1,5,1,2
516924,32,76,1,1807285.714285714,1901416.666666666,3708702.380952381,618117.0634920635,1645.258350340136,45.41090816326531,29.04207993197278,243.9723333333333,1,4,1,5,5,5,5,1,5,1,4
516931,32,76,1,4320231.428571429,6487333.333333332,10807564.76190476,2701891.19,1607.1825,48.39767857142857,40.45299999999998,206.5046428571428,1,1,1,5,5,5,5,1,5,1,2
516937,32,76,1,4165285.714285713,3165833.333333333,7331119.047619047,1832779.761904761,2926.129125,85.44103214285715,68.00395357142858,409.2464785714286,1,4,1,5,5,5,5,1,5,1,2
517031,32,76,1,3097028.571,6294583.333333333,9391611.905,2347902.976190475,1867.641875,54.36466071428571,42.51782142857142,270.3487142857142,1,1,1,5,5,1,5,1,1,1,2
517103,32,76,1,3245571.428571428,2280591.666666666,5526163.095238095,1381540.773809523,1380.354872448979,49.34627806,29.67073979591835,177.5938392857142,2,5,1,5,5,5,5,1,5,5,2
517117,32,76,1,5509457.142857142,17170666.66666666,22680123.81,5670030.952380951,2033.041020408163,74.93360714285718,46.62876530612245,244.6357857142856,1,2,1,1,1,1,5,1,1,1,3
517151,32,76,1,1691571.428571429,3554749.999999999,5246321.428571428,1049264.285714285,1277.586755,40.47822245,32.55426326530612,159.2592142857142,1,4,1,1,5,5,5,1,1,1,3
517181,32,76,1,6766285.714,15160833.33333333,21927119.04761904,4385423.809523809,1757.896591836734,60.23153265306124,76.92783877551022,201.7708714285713,1,1,1,1,5,1,1,1,1,1,2
517190,32,76,1,8892857.142857142,11986166.66666666,20879023.81,3479837.301587301,1581.500646258503,59.78549829931971,39.00291836734692,217.1365476190476,2,1,1,1,5,1,5,1,1,5,1
517210,32,76,1,4688057.142857143,5553750.000000001,10241807.14285714,5120903.571428572,3258.402999999999,93.78942143,63.60257857142858,476.5997142857141,2,2,1,1,5,1,1,1,5,5,0
517211,32,76,1,5532857.142857142,22244083.33333332,27776940.47619047,13888470.23809523,1910.183520408163,72.26626020408163,39.61252040816326,257.7612857142856,1,1,1,1,1,1,1,5,1,1,1
517218,32,76,1,6577285.714285714,5597000,12174285.71428571,3043571.428571428,2857.097974489795,83.62462296,61.60755306122448,438.1292499999998,1,4,1,5,5,1,1,1,5,1,2
517241,32,76,1,1850142.857142857,2090999.999999999,3941142.857142856,1313714.285714285,1607.243775510203,54.96223129251702,48.15767346938775,206.4895714285714,2,1,1,5,5,1,5,1,5,5,1
517244,32,76,1,11771142.85714286,28968333.33333333,40739476.19047619,5092434.523809524,2655.014165816326,82.38915994897958,51.01472397959183,393.5241428571429,1,1,1,1,1,1,1,1,1,1,3
517246,32,76,1,4862571.428571428,6960416.666666667,11822988.09523809,2955747.023809524,2144.286229591837,88.34230306122451,85.13580408163264,230.9977999999998,1,4,1,5,5,1,5,1,5,1,2
517249,32,76,1,1862571.428571428,3536833.333333334,5399404.761904763,2699702.380952381,2095.980408163265,63.49540306122447,54.64506122448977,299.5084999999999,1,4,1,1,5,1,5,1,5,1,1
517260,32,76,1,3757499.999999999,4091916.666666666,7849416.666666665,1962354.166666666,2763.506586734693,81.69512091836737,112.5785612244897,309.12995,1,4,1,5,5,5,5,1,1,1,2
517280,32,76,1,13924285.71,31995833.33333332,45920119.04761902,9184023.809523804,2908.856612244898,98.49398776,85.13208163265305,342.8668571428571,1,1,1,1,1,1,1,1,1,1,3
517329,32,76,1,8728285.714285713,16391166.66666665,25119452.38095237,6279863.095238093,2124.856836734693,79.23881378,67.74575765,251.8103214285713,1,1,1,1,5,1,1,1,5,1,2
517330,32,76,1,3488571.428571428,9402083.333333336,12890654.76190476,6445327.380952383,2073.780178571428,63.87710714285715,38.53846428571427,250.0806428571429,1,1,1,5,5,1,1,1,5,1,1
517331,32,76,1,3733714.285714285,5262916.666666667,8996630.952380953,1799326.19,1708.276857142857,55.24217142857141,35.06625714285713,217.6525428571428,1,2,1,5,5,5,1,1,5,1,2
